SQL_SP_UOW_ALL[FlowName],SQL_SP_UOW_ALL[DateTimeStarted],SQL_SP_UOW_ALL[DateTimeCompleted],SQL_SP_UOW_ALL[Successful],SQL_SP_UOW_ALL[Failed],SQL_SP_UOW_ALL[WasSuccessful],SQL_SP_UOW_ALL[FinalSuccessful],SQL_SP_UOW_ALL[FlowType],SQL_SP_UOW_ALL[UOW_Type],SQL_SP_UOW_ALL[createdbyyominame],SQL_SP_UOW_ALL[statecodename],SQL_SP_UOW_ALL[statuscode],SQL_SP_UOW_ALL[startedon],SQL_SP_UOW_ALL[machinegroupid],SQL_SP_UOW_ALL[machineid],SQL_SP_UOW_ALL[machineidname],SQL_SP_UOW_ALL[machinegroupidname],SQL_SP_UOW_ALL[BOT_Name],SQL_SP_UOW_ALL[DateTimeStarted_DATE_Only],SQL_SP_UOW_ALL[Year],SQL_SP_UOW_ALL[Month],SQL_SP_UOW_ALL[WeekOfYear],SQL_SP_UOW_ALL[YearWeek],[SumSuccessful],[SumFailed],[SumWasSuccessful],[SumFinalSuccessful],[SumYear],[SumMonth],[SumWeekOfYear],[SumYearWeek],[Total_Successful_UOW]
BWE - Content Conversion - Copy Findability Title,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,50,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,50,0,1,1,2025,4,16,202516,50
BWE - Content Conversion - Creative,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,24,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,24,0,1,1,2025,4,16,202516,24
BWE - Content Conversion-Copy,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,125,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,125,0,1,1,2025,4,16,202516,125
BWE - DSV Cost Negotiations,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,81,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,81,0,1,1,2025,4,16,202516,81
BWE - Merge Reviews,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,73,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,73,0,1,1,2025,4,16,202516,73
BWE - Merge Reviews,2025-04-15T00:00:00,4/15/2025 12:00:00 AM,128,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-15T00:00:00,2025,4,16,202516,128,0,1,1,2025,4,16,202516,128
BWE - Merge Reviews,2025-04-16T00:00:00,4/16/2025 12:00:00 AM,72,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-16T00:00:00,2025,4,16,202516,72,0,1,1,2025,4,16,202516,72
BWE - Merge Reviews,2025-04-17T00:00:00,4/17/2025 12:00:00 AM,219,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-17T00:00:00,2025,4,16,202516,219,0,1,1,2025,4,16,202516,219
BWE - Merge Reviews,2025-04-18T00:00:00,4/18/2025 12:00:00 AM,128,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-18T00:00:00,2025,4,16,202516,128,0,1,1,2025,4,16,202516,128
BWE - Needs Customer Returns Improvement,2025-04-14T00:00:00,4/14/2025 12:00:00 AM,10,0,1,1,UOW,UOW_ProcessStreet,,,,,,,,,,2025-04-14T00:00:00,2025,4,16,202516,10,0,1,1,2025,4,16,202516,10
